	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	B6
gene_509	0	2	0	0	0	2	0	0	0	0	0
gene_510	84	79	87	88	95	86	89	96	70	94	72
gene_511	0	5	0	1	0	0	0	1	9	0	0
gene_512	9	21	34	46	11	29	35	21	73	3	12
gene_513	58	42	72	124	57	127	134	100	104	116	124
gene_514	111	119	133	146	140	93	68	123	87	118	57
gene_515	34	1	7	0	27	0	52	16	59	4	68
gene_516	9	8	2	11	8	23	10	16	13	11	10
gene_517	12	7	10	8	9	11	8	4	11	4	4
gene_518	3904	4235	3369	5266	4372	4775	2519	3412	3884	3376	2986
gene_519	0	3	0	1	0	1	0	0	0	1	0
gene_520	48	10	31	29	36	42	25	27	13	52	42
gene_521	3	4	2	17	14	10	2	1	13	6	4
gene_522	10	14	11	10	9	9	7	18	8	6	15
gene_523	5	8	7	8	16	10	5	4	3	18	29
gene_524	2	1	0	0	0	0	0	2	0	0	2
gene_525	13	22	30	27	12	27	17	32	25	14	28
gene_526	150	153	163	187	233	178	158	203	212	95	186
gene_527	2	0	2	1	4	2	1	0	1	0	0
gene_528	2	10	2	4	9	22	23	3	0	1	1
gene_529	33	39	45	44	46	36	49	42	30	52	38
gene_530	7	7	4	15	3	2	4	15	5	9	5
gene_531	5	10	6	1	6	3	2	3	14	4	5
gene_532	35	44	21	31	23	44	31	43	34	48	34
gene_533	6	3	7	4	2	4	7	1	0	1	2
gene_534	5	12	2	4	1	0	1	0	0	5	2
gene_535	84	58	38	151	263	166	53	8	69	141	48
gene_536	18	19	23	23	10	12	27	19	41	24	10
gene_537	13	16	8	8	16	2	24	14	11	8	3
gene_538	0	7	16	0	0	1	10	10	0	1	15
gene_539	14	47	11	39	20	24	14	25	8	8	20
gene_540	50	54	64	82	36	80	57	57	74	58	44
gene_541	0	1	5	0	7	0	0	3	1	0	1
gene_542	5	1	17	6	11	5	10	10	19	0	30
gene_543	54	47	8	19	60	14	10	23	28	53	56
gene_544	179	525	454	440	116	897	385	433	264	542	561
gene_545	6	1	1	0	1	1	0	2	2	2	0
gene_546	63	475	171	270	103	58	184	247	165	175	47
gene_547	0	5	5	6	6	7	12	8	6	11	5
gene_548	354	363	374	363	318	373	377	364	334	318	397
gene_549	181	155	173	221	235	202	145	178	157	141	216
gene_550	1	0	0	0	3	0	2	0	0	0	0
gene_551	3	0	0	1	0	0	0	2	1	0	0
gene_552	45	25	28	57	28	18	34	28	23	33	44
gene_553	29	28	23	28	16	13	22	27	29	21	30
gene_554	3	1	1	1	4	2	1	5	1	3	3
gene_555	1	4	0	2	2	1	1	2	1	2	4
gene_556	63	66	46	31	94	16	30	33	52	41	28
gene_557	23	12	24	28	16	31	22	18	9	14	22
gene_558	0	0	0	1	0	0	0	2	0	0	2
gene_559	1	0	0	0	15	1	0	0	0	3	1
gene_560	56	63	58	67	57	60	42	36	54	50	54
gene_561	4	8	14	3	0	7	0	0	6	5	1
gene_562	83	50	134	190	77	111	79	99	63	67	24
gene_563	28	37	34	31	44	32	40	27	40	47	36
gene_564	31	17	11	27	33	23	12	20	22	36	19
gene_565	36	33	20	29	40	26	20	22	43	39	32
gene_566	22	46	29	45	45	29	43	32	34	28	48
gene_567	0	0	0	1	1	0	2	0	1	0	1
gene_568	0	0	1	1	4	0	10	0	0	0	7
gene_569	0	0	1	0	0	1	0	0	2	0	1
gene_570	6	12	24	6	5	20	4	9	8	17	1
gene_571	11	10	11	11	1	1	25	10	12	29	16
gene_572	25	39	44	18	42	31	42	37	25	20	27
gene_573	25	10	10	5	10	7	6	2	10	6	27
gene_574	1	0	0	0	1	3	0	0	0	2	0
gene_575	0	1	0	0	0	3	0	15	0	0	1
gene_576	2	5	1	0	22	0	0	13	4	0	6
gene_577	233	415	308	84	233	174	142	628	344	198	222
gene_578	118	156	30	88	66	71	60	26	88	19	158
gene_579	189	172	195	223	190	213	207	192	221	189	189
gene_580	10	0	14	18	6	3	10	4	10	12	3
gene_581	176	188	186	214	173	169	113	223	157	150	133
gene_582	31	30	20	8	12	7	39	20	16	2	28
gene_583	44	63	88	112	89	71	6	73	97	44	65
gene_584	24	15	15	13	18	16	17	10	15	13	11
gene_585	10	0	30	2	1	19	0	0	0	8	6
gene_586	3	2	2	0	2	2	0	2	4	2	0
gene_587	11	16	12	6	18	21	18	7	7	5	5
gene_588	374	738	457	360	365	544	601	429	530	444	805
gene_589	4	1	1	5	1	0	4	4	0	7	3
gene_590	57	66	189	157	53	120	79	121	77	166	72
gene_591	2	0	0	9	5	22	4	0	32	12	0
gene_592	19	21	37	52	14	42	15	57	60	22	13
gene_593	15	17	9	17	16	9	6	10	18	16	14
gene_594	13	40	23	18	126	13	1	26	15	148	21
gene_595	16	1	33	2	0	30	0	18	0	4	2
gene_596	34	29	21	25	28	26	24	24	24	26	26
gene_597	1	0	3	5	2	4	4	5	4	3	5
gene_598	1	0	5	2	6	1	1	7	2	0	0
gene_599	250	232	175	145	228	275	212	202	234	269	174
gene_600	1147	1423	1371	1168	1266	1180	1093	1578	1560	1147	1306
gene_601	42	28	41	40	50	61	51	44	25	35	40
gene_602	123	201	185	189	126	124	138	274	105	201	64
gene_603	62	78	20	48	52	45	83	58	54	25	64
gene_604	24	49	31	31	13	41	28	48	26	26	43
gene_605	38	24	23	27	16	31	20	17	31	26	22
gene_606	42	26	27	26	46	27	39	37	32	41	50
gene_607	165	76	45	177	52	70	94	11	191	60	24
gene_608	3	0	0	10	13	2	0	0	0	36	0
gene_609	15	32	15	20	18	15	17	34	18	24	26
gene_610	16	16	26	9	20	26	9	23	17	13	15
gene_611	14	3	0	0	0	0	0	3	0	0	2
gene_612	0	23	4	2	1	0	5	8	2	4	11
gene_613	26	18	31	19	29	17	21	25	36	27	27
gene_614	65	49	41	51	65	119	26	55	36	23	76
gene_615	10	8	10	8	3	9	14	13	3	5	7
gene_616	1	0	0	0	0	0	1	0	5	1	0
gene_617	0	0	0	7	0	2	3	4	0	5	2
gene_618	7	4	7	0	1	0	1	0	1	0	0
gene_619	457	454	523	444	411	439	450	420	441	391	459
gene_620	34	45	44	53	50	50	55	46	46	44	41
gene_621	19	58	18	24	18	34	24	46	29	6	44
gene_622	3	1	2	4	0	0	0	5	4	1	2
gene_623	96	40	24	72	26	88	96	32	15	75	167
gene_624	4	13	40	17	15	14	20	23	20	18	19
gene_625	6	0	7	4	15	11	19	0	0	58	0
gene_626	1	0	0	7	0	0	1	0	0	0	1
gene_627	144	220	175	221	169	180	140	284	211	219	134
gene_628	45	48	1	27	24	20	17	12	36	23	35
gene_629	0	19	2	0	2	1	1	4	4	5	0
gene_630	14	0	1	21	1	0	4	2	1	7	3
gene_631	2	5	0	3	0	3	4	0	3	1	5
gene_632	0	0	0	1	1	0	2	1	0	0	1
gene_633	1	4	32	5	19	10	30	21	4	4	2
gene_634	11	12	38	17	12	12	32	30	12	19	25
gene_635	18	28	21	28	28	18	28	29	33	33	25
gene_636	117	68	62	109	77	82	60	56	67	63	129
gene_637	48	19	21	32	26	30	72	8	43	40	54
gene_638	75	42	106	48	52	61	75	82	90	68	52
gene_639	49	114	120	140	148	69	123	150	51	94	105
gene_640	2	0	3	0	1	2	0	1	4	0	0
gene_641	1	6	2	0	0	0	6	1	0	0	0
gene_642	4	9	10	22	5	4	5	18	2	13	13
gene_643	312	337	306	271	283	289	278	290	332	315	245
gene_644	11	0	1	0	57	0	2	1	1	9	0
gene_645	131	152	121	128	95	83	284	41	386	146	117
gene_646	0	3	3	0	1	6	0	1	1	2	5
gene_647	117	169	145	107	72	152	77	114	134	87	114
gene_648	1701	746	1347	705	418	845	818	851	840	1340	1575
gene_649	6	2	3	11	1	1	1	6	3	10	1
gene_650	182	628	321	500	317	422	155	349	231	327	211
gene_651	21	7	13	6	5	12	9	5	5	2	12
gene_652	1	0	0	1	8	0	0	5	2	0	1
gene_653	12	4	6	5	6	25	4	0	1	13	27
gene_654	20	10	63	21	29	20	47	11	30	20	9
gene_655	35	21	22	18	35	26	31	33	28	53	30
gene_656	0	0	0	0	0	2	0	1	0	0	3
gene_657	18	1	0	1	0	0	21	3	3	0	4
gene_658	29	16	28	22	33	23	22	20	38	16	14
gene_659	0	2	13	7	0	0	0	2	0	1	0
gene_660	3	1	0	2	1	13	0	0	2	0	5
gene_661	2	2	0	1	1	1	0	1	5	3	0
gene_662	41	22	3	18	16	5	12	10	7	33	12
gene_663	236	105	62	32	152	72	113	62	119	47	71
gene_664	1	4	4	14	0	2	3	2	8	1	5
gene_665	1	1	0	1	2	2	2	5	1	2	3
gene_666	11	10	11	17	15	16	12	21	19	21	12
gene_667	21	16	54	20	15	18	50	29	14	25	33
gene_668	8	14	16	34	44	12	29	11	4	11	6
gene_669	6	12	20	5	8	15	21	8	10	13	16
gene_670	59	62	32	55	45	71	61	57	39	34	42
gene_671	2	2	0	0	0	3	0	0	1	1	0
gene_672	13	1	9	0	1	5	1	0	0	4	0
gene_673	2	7	3	7	10	12	5	8	18	1	2
gene_674	12	7	11	13	16	15	5	26	12	13	18
gene_675	7	1	6	13	18	1	0	2	3	10	12
gene_676	37	43	35	40	44	43	44	51	45	50	62
gene_677	30	1	0	2	3	0	0	0	1	0	0
gene_678	220	163	133	139	138	109	128	112	110	112	116
gene_679	40	39	41	48	39	45	56	36	34	36	35
gene_680	103	50	44	18	68	130	74	61	27	27	65
gene_681	10	69	33	21	25	17	100	47	69	24	19
gene_682	6	21	14	9	22	20	17	21	34	17	42
gene_683	5	1	6	14	2	12	11	4	1	13	20
gene_684	55	56	88	93	110	104	41	51	58	45	39
gene_685	32	44	82	28	29	53	51	47	73	22	24
gene_686	0	0	0	0	2	0	2	0	0	0	0
gene_687	0	3	4	2	0	7	4	1	4	6	0
gene_688	4	5	14	10	4	42	18	13	23	17	5
gene_689	127	108	156	85	164	129	87	122	81	136	84
gene_690	259	235	227	228	276	265	221	352	317	307	270
gene_691	431	456	393	392	425	480	436	398	425	494	385
gene_692	157	90	113	156	156	133	110	132	160	166	163
gene_693	0	9	0	0	2	0	0	1	0	0	3
gene_694	47	50	73	59	64	62	74	45	84	33	57
gene_695	10	5	2	1	0	13	1	6	2	0	0
gene_696	2	0	0	0	2	0	2	5	0	0	5
gene_697	31	126	141	107	133	24	71	95	59	16	103
gene_698	0	0	0	2	0	0	0	1	1	0	1
gene_699	29	40	93	23	24	19	36	28	53	25	27
gene_700	3	4	3	4	2	2	5	3	1	0	0
gene_701	3	3	2	0	1	1	0	0	0	0	3
gene_702	0	10	3	0	0	0	0	0	8	0	17
gene_703	38	46	25	31	29	32	23	27	29	29	35
gene_704	4	5	2	6	3	4	2	3	2	3	3
gene_705	62	55	40	32	33	58	36	34	52	30	55
gene_706	13	11	22	22	0	14	1	0	1	93	43
gene_707	28	23	6	39	32	9	22	19	29	18	36
gene_708	277	325	218	250	239	334	208	196	175	201	315
gene_709	126	139	66	135	78	73	90	88	89	75	78
gene_710	7	2	0	8	0	7	42	11	0	2	0
gene_711	83	85	112	15	140	63	189	63	93	69	88
gene_712	62	61	55	37	72	87	68	62	53	60	43
gene_713	83	64	51	95	90	65	25	83	47	47	74
gene_714	80	70	98	102	111	95	86	87	119	99	91
gene_715	24	16	52	41	8	68	0	32	10	27	15
gene_716	336	249	202	460	210	205	288	209	185	211	273
gene_717	99	9	50	81	24	97	87	69	54	106	19
gene_718	135	112	89	160	114	137	149	194	75	107	101
gene_719	65	45	87	59	142	91	67	50	85	56	113
gene_720	2	1	0	2	0	2	4	0	0	2	0
gene_721	88	50	93	19	69	103	83	58	59	138	63
gene_722	162	188	179	148	253	177	167	162	180	159	150
gene_723	0	0	2	0	0	0	0	0	0	0	0
gene_724	2	16	4	34	9	38	16	24	0	19	15
gene_725	31	39	32	30	44	38	40	41	38	42	48
gene_726	0	3	1	0	5	0	2	2	0	1	0
gene_727	30	17	55	14	44	59	100	64	19	33	26
gene_728	123	119	121	80	28	50	17	35	137	77	54
gene_729	10	13	14	9	10	18	8	14	12	8	8
gene_730	7	22	4	3	18	4	5	40	24	37	28
gene_731	76	133	54	59	104	85	94	66	92	40	81
gene_732	6	8	4	1	4	2	1	26	5	3	10
gene_733	17	11	12	13	18	8	24	12	12	25	7
gene_734	1	0	9	0	10	4	2	17	16	1	11
gene_735	63	32	31	20	61	13	38	29	13	59	20
gene_736	49	28	40	37	21	29	27	24	22	31	29
gene_737	75	45	53	30	46	22	42	42	46	37	40
gene_738	7	16	7	19	7	11	2	4	7	5	3
gene_739	1	1	1	2	5	0	0	3	4	5	2
gene_740	313	307	348	254	318	397	309	387	195	131	565
gene_741	1	3	11	0	2	0	10	0	5	6	12
gene_742	23	66	89	135	16	26	37	85	21	81	40
gene_743	5	0	1	0	1	0	0	1	0	0	1
gene_744	73	61	76	61	38	38	59	103	85	93	33
gene_745	0	8	4	0	0	6	1	4	2	0	2
gene_746	0	0	1	0	0	0	0	0	2	0	0
gene_747	209	241	243	240	289	221	230	189	228	276	200
gene_748	76	69	79	60	52	58	60	70	85	66	58
gene_749	44	33	27	13	30	23	32	34	41	30	30
gene_750	370	310	612	1623	263	315	1205	195	324	417	249
gene_751	2	1	3	2	0	0	4	3	2	2	3
gene_752	105	106	64	85	107	78	88	68	100	78	111
gene_753	36	24	51	30	38	23	27	32	29	23	34
gene_754	1	8	1	0	4	2	1	0	0	1	1
gene_755	0	1	1	5	2	5	2	0	3	2	0
gene_756	4	0	3	5	1	5	0	2	3	4	7
gene_757	4	5	2	5	8	4	2	5	8	3	9
gene_758	125	242	306	164	192	202	407	283	362	293	187
gene_759	0	1	8	1	2	7	0	0	9	0	0
gene_760	0	24	0	0	0	0	1	0	1	0	2
gene_761	404	807	267	260	583	449	575	637	558	456	331
gene_762	36	36	45	53	42	37	43	41	44	61	47
gene_763	17	25	35	24	12	23	14	35	29	9	28
gene_764	1	1	0	0	0	1	0	2	2	0	0
gene_765	11	7	13	4	8	11	15	11	7	5	9
gene_766	23	73	63	149	129	96	185	45	72	91	133
gene_767	70	98	92	102	91	76	74	48	89	89	108
gene_768	0	2	7	4	5	6	1	5	0	3	8
gene_769	1	1	0	1	0	1	0	0	0	1	1
gene_770	334	238	156	136	187	148	276	188	232	252	167
gene_771	259	108	102	163	133	166	306	386	277	81	267
gene_772	17	11	27	26	23	18	10	11	13	37	20
gene_773	9	28	45	24	23	12	12	12	30	13	19
gene_774	0	4	0	1	2	0	3	0	2	5	0
gene_775	8	4	13	10	5	7	13	6	6	12	8
gene_776	1	3	7	2	18	5	0	0	10	1	0
gene_777	35	27	43	32	37	25	33	33	27	36	28
gene_778	15	42	37	28	20	25	53	7	17	27	14
gene_779	40	47	38	45	23	30	25	34	39	45	25
gene_780	72	0	2	2	31	2	7	22	38	22	0
gene_781	146	112	108	88	120	156	106	193	140	130	106
gene_782	15	9	27	1	20	16	3	1	5	12	13
gene_783	40	18	30	34	17	44	47	43	26	15	38
gene_784	87	72	58	91	82	89	70	70	77	67	83
gene_785	5	8	32	5	5	5	10	12	5	27	2
gene_786	4	1	8	7	3	3	3	11	0	6	9
gene_787	3	0	1	0	0	4	3	1	0	19	10
gene_788	0	9	0	0	0	0	6	4	1	2	0
gene_789	21	16	10	20	22	12	15	15	21	22	15
gene_790	8	3	2	2	2	1	5	11	8	3	3
gene_791	165	187	245	140	109	280	219	202	222	195	78
gene_792	47	107	59	88	136	76	38	57	101	112	70
gene_793	2	0	0	0	0	1	6	2	0	0	15
gene_794	7	1	2	2	0	2	5	5	2	0	1
gene_795	588	590	645	263	372	459	304	336	502	631	555
gene_796	5	9	16	0	2	7	24	22	10	7	12
gene_797	5	0	3	9	2	0	11	10	62	0	0
gene_798	0	1	1	0	0	2	0	1	0	2	0
gene_799	29	32	19	27	37	22	37	27	26	28	32
gene_800	8	1	0	0	5	0	7	4	4	4	2
gene_801	0	8	0	2	0	3	0	12	2	3	5
gene_802	5	4	2	1	3	2	5	3	1	4	2
gene_803	126	117	75	60	127	78	98	83	85	97	102
gene_804	10	0	6	6	4	4	2	6	7	7	2
gene_805	348	337	296	346	242	232	181	211	365	273	325
gene_806	74	48	145	62	83	57	90	84	54	60	68
gene_807	0	1	1	0	3	1	0	0	0	0	0
gene_808	10	1	0	1	0	0	0	0	5	1	2
gene_809	16	8	0	9	1	2	1	7	4	4	17
gene_810	21	94	48	40	85	94	50	39	50	33	46
gene_811	7	3	12	12	8	4	10	2	4	8	8
gene_812	24	60	65	77	74	37	34	27	32	32	56
gene_813	5	1	6	0	0	23	0	0	0	0	3
gene_814	25	13	12	29	43	19	20	30	27	24	18
gene_815	31	31	28	103	42	3	66	36	136	52	8
gene_816	565	378	484	547	390	314	597	612	582	529	441
gene_817	22	40	53	109	42	105	70	21	58	44	26
gene_818	8	14	23	21	15	28	36	18	42	57	19
gene_819	0	0	7	0	2	0	0	1	0	3	7
gene_820	0	0	0	1	4	3	0	1	0	0	0
gene_821	4	15	5	38	72	45	6	30	29	74	6
gene_822	0	0	1	1	0	3	0	0	0	1	0
gene_823	1	0	0	0	1	1	1	2	0	4	1
gene_824	4	8	4	3	4	6	2	2	2	4	8
gene_825	1	6	3	0	2	0	2	1	3	3	3
gene_826	0	2	2	0	0	0	0	0	0	0	0
gene_827	53	63	56	85	61	107	39	52	72	63	46
gene_828	121	142	82	153	93	85	115	125	107	112	84
gene_829	29	20	34	32	33	20	27	54	33	29	29
gene_830	0	2	0	0	0	2	0	0	0	0	2
gene_831	33	41	79	74	59	70	27	66	36	54	52
gene_832	217	267	259	230	240	191	257	224	250	223	248
gene_833	49	54	47	53	37	64	46	50	46	40	32
gene_834	35	47	37	20	50	31	101	30	66	36	38
gene_835	9	5	5	5	1	5	6	15	3	4	6
gene_836	7	4	17	9	7	7	12	12	13	1	9
gene_837	28	9	15	9	31	27	27	43	28	12	18
gene_838	7	13	38	22	20	9	30	10	7	16	25
gene_839	2	1	0	0	2	0	0	0	0	0	0
gene_840	2	1	1	0	1	0	0	0	1	1	1
gene_841	21	7	94	66	0	149	25	132	12	41	11
gene_842	62	68	42	42	46	138	77	64	105	108	46
gene_843	1	0	2	4	0	0	0	0	1	4	2
gene_844	23	8	19	13	6	6	8	12	8	9	24
gene_845	23	15	43	16	12	13	31	23	23	32	26
gene_846	0	0	0	0	2	7	2	3	2	2	5
gene_847	88	83	96	102	100	100	83	95	83	93	95
gene_848	3	2	1	0	1	1	3	2	0	1	3
gene_849	41	99	70	65	98	84	78	85	52	99	55
gene_850	4	2	4	6	2	2	7	4	11	4	3
gene_851	33	17	21	28	14	22	59	48	23	46	44
gene_852	0	0	2	0	0	0	0	0	1	0	0
gene_853	21	35	40	49	20	16	36	37	20	20	40
gene_854	64	88	58	63	65	61	83	101	82	62	61
gene_855	0	10	28	26	0	0	0	0	14	0	13
gene_856	67	87	81	99	90	98	64	68	77	62	83
gene_857	6	0	0	0	7	0	4	0	0	2	0
gene_858	20	14	12	19	21	15	11	19	24	14	17
gene_859	33	26	27	18	31	25	16	25	10	30	27
gene_860	1045	745	610	897	898	1290	890	502	1245	735	1087
gene_861	271	339	237	330	288	203	242	366	218	302	234
gene_862	31	55	28	21	17	47	54	51	43	19	43
gene_863	20	18	16	42	31	51	25	21	42	19	39
gene_864	190	146	177	179	180	200	130	242	174	166	148
gene_865	184	206	200	188	117	65	160	169	203	74	89
gene_866	82	56	55	67	81	87	81	50	45	76	71
gene_867	3	5	6	2	3	4	9	3	3	4	6
gene_868	1	0	1	2	10	18	0	3	4	4	10
gene_869	13	41	37	33	32	33	25	47	22	53	20
gene_870	48	65	68	38	52	63	32	43	44	41	59
gene_871	21	112	78	94	57	51	45	63	39	40	164
gene_872	12	8	19	5	9	8	5	4	5	6	10
gene_873	409	509	391	572	493	551	386	467	423	421	414
gene_874	8	11	11	16	16	9	7	16	16	14	17
gene_875	69	74	25	56	107	47	57	70	63	73	55
gene_876	46	46	37	33	54	32	50	54	36	62	64
gene_877	7	56	2	10	18	47	73	49	40	44	11
gene_878	1088	1423	476	1755	2918	3995	1219	2529	1489	4132	1385
gene_879	1	8	3	17	0	0	0	0	1	0	2
gene_880	23	36	20	24	27	12	23	37	46	23	27
gene_881	7	15	7	9	6	4	15	3	5	9	10
gene_882	24	39	27	49	54	37	46	32	48	40	39
gene_883	57	58	47	54	87	60	59	55	36	65	80
gene_884	13	38	43	31	35	19	22	38	11	38	37
gene_885	5	0	4	0	9	1	0	6	0	2	0
gene_886	0	0	1	0	1	23	2	8	2	1	7
gene_887	2	0	1	24	4	12	12	5	0	0	3
gene_888	3	8	13	1	3	22	3	17	2	5	3
gene_889	15	10	14	10	10	9	6	9	12	2	6
gene_890	3	0	15	17	4	12	3	16	14	4	9
gene_891	0	0	1	1	1	2	3	1	2	4	5
gene_892	2	10	2	2	17	4	9	1	6	1	13
gene_893	11	9	12	6	10	19	28	7	12	7	3
gene_894	10	7	10	6	7	8	8	5	10	7	7
gene_895	4	1	4	5	4	3	1	5	6	1	2
gene_896	1	0	0	0	0	1	0	4	0	3	0
gene_897	27	35	26	25	40	37	25	36	52	20	49
gene_898	677	630	608	383	449	393	359	668	496	769	570
gene_899	136	116	154	157	139	153	178	200	151	137	188
gene_900	10	299	327	201	133	80	203	161	154	297	242
gene_901	5	4	10	16	5	2	5	2	5	13	11
gene_902	95	178	55	102	129	160	129	151	139	150	159
gene_903	127	152	177	199	129	176	38	76	161	62	97
gene_904	74	26	27	24	76	43	29	40	23	51	67
gene_905	105	89	179	98	109	131	131	205	141	106	107
gene_906	24	43	27	32	38	39	36	29	29	23	27
gene_907	1	2	0	3	0	3	2	3	1	5	2
gene_908	4	1	6	3	4	12	10	5	5	5	7
gene_909	164	148	124	127	221	237	144	85	173	173	153
gene_910	7	11	31	6	18	24	5	18	9	32	8
gene_911	0	9	9	2	2	2	8	0	3	2	0
gene_912	5	9	6	2	7	2	8	4	2	5	6
gene_913	164	157	135	118	92	113	193	103	84	151	100
gene_914	131	85	100	64	105	127	63	53	86	106	126
gene_915	71	339	457	904	527	217	468	270	169	304	231
gene_916	4	3	6	14	4	1	11	4	2	42	3
gene_917	0	0	2	0	0	1	0	0	2	2	2
gene_918	82	53	66	45	81	86	91	80	65	79	53
gene_919	32	92	78	68	113	36	40	17	91	55	18
gene_920	11	5	3	20	11	18	0	13	16	17	13
gene_921	81	110	90	80	108	64	100	93	96	80	102
gene_922	47	56	66	28	65	23	51	109	86	115	100
gene_923	9	5	9	4	3	2	0	4	8	3	4
gene_924	0	1	7	4	2	2	0	0	0	2	0
gene_925	0	0	2	0	0	0	2	0	0	0	0
gene_926	5	1	1	0	0	0	0	4	0	1	0
gene_927	66	33	56	114	89	101	40	51	85	28	54
gene_928	1817	1149	1523	2507	1948	1765	2639	1480	1577	2988	2232
gene_929	3	17	7	1	52	8	9	5	2	6	5
gene_930	34	38	28	32	67	21	27	21	21	10	43
gene_931	2	4	20	10	36	17	0	68	109	15	29
gene_932	1	19	2	0	4	6	4	4	0	0	2
gene_933	8	0	0	0	3	31	5	59	9	10	14
gene_934	0	2	2	2	2	3	0	1	0	1	0
gene_935	12	23	33	26	36	30	9	28	2	12	12
gene_936	1	3	0	1	0	0	2	0	0	0	1
gene_937	53	58	47	24	55	88	64	66	40	51	106
gene_938	25	17	12	11	27	33	21	12	10	18	0
gene_939	35	39	23	23	41	48	21	33	44	31	25
gene_940	178	194	154	228	63	80	43	52	96	180	123
gene_941	43	63	31	35	50	60	33	38	47	39	26
gene_942	118	97	64	66	171	70	58	60	131	170	138
gene_943	10	13	8	11	12	20	22	11	13	20	15
gene_944	11	14	6	25	3	6	6	4	7	12	0
gene_945	2	0	0	0	0	0	0	2	2	0	2
gene_946	272	230	255	229	262	211	183	318	294	312	251
gene_947	4	4	4	2	0	0	1	2	2	2	2
gene_948	16	14	11	21	26	17	17	10	10	11	16
gene_949	10	29	11	31	14	38	6	16	27	26	19
gene_950	52	82	65	50	52	80	91	50	73	55	71
gene_951	1	0	0	20	3	12	2	0	0	0	11
gene_952	2	16	2	4	0	2	4	0	4	1	2
gene_953	0	5	0	42	13	34	57	0	3	3	7
gene_954	71	110	103	70	68	89	64	71	90	96	80
gene_955	5	7	3	4	5	2	1	1	3	7	4
gene_956	8	2	4	45	4	15	8	3	10	14	10
gene_957	0	10	1	1	0	1	2	3	0	1	3
gene_958	1	0	0	1	0	0	3	0	8	1	2
gene_959	78	130	177	96	153	51	86	53	133	170	103
gene_960	0	1	0	0	0	0	1	2	0	1	0
gene_961	0	1	0	0	3	0	1	0	2	0	0
gene_962	8	8	13	8	12	10	19	13	0	14	13
gene_963	16	1	33	1	28	21	14	15	2	8	10
gene_964	0	7	1	1	0	0	1	0	0	0	0
gene_965	4	7	0	1	2	3	1	2	35	0	0
gene_966	9	3	34	7	7	3	0	27	7	0	0
gene_967	26	40	11	52	11	48	45	24	34	42	12
gene_968	11	29	9	3	12	10	18	11	19	16	10
gene_969	29	29	33	24	19	24	32	33	37	56	21
gene_970	1	1	0	1	3	2	0	2	0	3	5
gene_971	26	30	23	42	34	36	26	29	32	36	32
gene_972	32	36	38	39	42	45	34	31	32	52	50
gene_973	0	3	0	2	2	1	7	0	0	1	13
gene_974	216	199	137	241	295	226	198	245	248	217	219
gene_975	0	5	7	3	4	3	3	9	7	1	11
gene_976	57	72	67	53	42	36	37	50	64	73	64
gene_977	1	0	3	2	0	2	4	1	0	0	1
gene_978	1	0	0	1	0	1	5	13	14	0	2
gene_979	76	59	27	51	54	13	32	40	15	31	28
gene_980	13	35	46	28	48	57	23	50	33	17	29
gene_981	22	23	23	7	27	7	17	31	33	30	23
gene_982	53	58	53	64	46	44	52	47	47	47	48
gene_983	495	538	443	525	507	422	545	326	466	395	590
gene_984	624	328	405	584	363	529	621	466	308	377	468
gene_985	62	50	50	62	44	54	37	37	51	49	53
gene_986	17	86	16	36	34	54	9	18	52	78	41
gene_987	101	45	16	39	27	34	102	23	57	31	27
gene_988	0	2	1	1	1	1	1	1	4	3	1
gene_989	61	63	44	58	45	95	83	77	96	116	52
gene_990	6	0	4	2	4	3	2	0	2	0	1
gene_991	28	20	16	28	22	18	38	25	13	6	14
gene_992	26	21	30	21	23	11	29	23	24	31	25
gene_993	0	0	3	0	2	30	1	9	0	0	0
gene_994	41	16	25	40	29	33	19	12	14	16	15
gene_995	149	182	94	193	81	89	97	133	102	76	71
gene_996	20	17	16	18	7	14	10	12	15	9	24
gene_997	48	29	58	47	36	26	12	54	44	33	25
gene_998	30	7	22	12	10	15	16	15	19	24	10
gene_999	0	0	5	5	2	0	2	6	1	2	2
gene_1000	11	4	18	3	10	11	1	5	5	0	13
gene_1001	4	11	6	8	10	10	6	8	19	0	21
gene_1002	1	2	0	0	5	1	0	6	0	3	5
gene_1003	21	20	29	17	21	21	10	9	26	19	23
gene_1004	82	45	45	39	40	27	44	24	57	42	17
gene_1005	81	142	186	185	143	183	121	114	105	152	97
gene_1006	4	0	9	0	0	0	0	0	3	1	6
gene_1007	18	21	30	18	14	8	11	24	30	22	17
gene_1008	0	9	2	0	1	0	0	4	0	0	0
gene_1009	366	518	328	438	289	304	664	227	153	338	187
gene_1010	4	6	4	4	1	6	2	3	6	2	4
gene_1011	153	176	212	176	173	228	122	293	175	209	176
gene_1012	59	39	59	53	69	37	42	61	110	50	61
gene_1013	1	0	4	1	8	1	1	3	0	2	1
gene_1014	2	1	0	0	2	0	1	0	0	0	1
gene_1015	250	234	234	254	268	230	241	253	242	256	242
gene_1016	22	22	9	40	41	30	37	34	19	20	24
gene_1017	225	230	215	84	119	133	112	202	127	147	128
gene_1018	0	1	1	0	2	0	9	0	0	0	0
gene_1019	107	168	107	135	192	142	175	71	100	138	131
gene_1020	8	15	16	13	2	3	3	7	43	22	5
gene_1021	16	13	15	5	18	11	6	6	13	2	18
gene_1022	111	94	36	12	154	86	17	27	34	0	158
